attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,attr_11,attr_12,attr_13,attr_14,attr_15,attr_16,attr_17,attr_18,attr_19,class
0,10.31,1.2553,1.9483,5.4573,3.626,7.2909,19.454,7.6612,16.688,12.553,16.301,22.921,0,0,0,0,0,0,C
0,29.491,32.149,34.59,36.782,38.727,4.6997,6.0138,14.877,38.427,12.553,40.635,21.524,29.111,0,0,0,0,0,D
0,0.61502,-11.579,-10.689,-9.5554,-7.345,0.93791,3.331,7.6612,-0.96275,2.8776,15.862,21.524,29.111,0,-0.41088,0,0,0,E
0,28.401,29.927,32.642,35.175,37.506,4.6997,6.0138,7.6612,9.775,12.553,28.762,21.524,29.111,47.647,0,-0.88046,0,0,F
0,0.61502,1.2553,4.0191,6.6279,11.516,4.6997,27.588,7.6612,9.775,12.553,23.51,33.595,0,0,0,0,0,0,G
0,11.262,1.2553,1.9483,2.7255,0,-0.088046,0,0,0,0,0,0,0,0,0,0,0,0,H
0,20.912,22.824,1.9483,2.7255,10.687,34.898,12.394,15.988,9.775,12.553,0,0,0,0,0,0,0,0,I
0,0.61502,23.613,22.558,24.372,3.626,4.6997,6.0138,29.33,31.385,16.123,33.915,31.924,44.445,40.819,0,0,0,0,J
0,0.61502,1.2553,1.9483,2.7255,-13.252,-10.348,-5.3881,7.6612,3.8693,8.6828,13.668,19.516,29.111,40.819,0,0,0,0,A
0,0.61502,2.5098,1.9483,2.7255,3.626,17.87,6.0138,7.6612,9.775,34.175,34.359,0,0,0,0,0,0,0,B
0,11.793,1.2553,4.7094,2.7255,3.626,4.6997,6.0138,7.6612,9.775,19.368,35.043,26.051,33.804,0,0,0,0,0,C
0,0.61502,1.2553,1.9483,2.7255,2.2507,-6.2673,-4.7987,7.6612,3.3239,12.553,16.301,20.244,27.93,40.819,0,0,0,0,D
0,24.533,26.345,29.29,2.7255,3.626,6.346,24.819,25.221,22.278,37.779,37.97,43.133,32.691,53.254,0,0,0,0,E
0,0.61502,1.2553,1.9483,2.7255,3.626,4.6997,4.8517,7.6612,0.97669,12.553,16.301,21.524,26.244,40.224,0,0,0,0,F
0,0.61502,1.2553,6.8445,35.079,35.217,35.104,29.467,25.7,22.31,12.553,19.778,21.524,29.111,0,0,0,0,0,G
0,17.885,20.654,23.568,6.3063,7.5384,4.6997,10.525,10.834,14.74,12.553,21.546,21.524,29.111,42.62,0,0,0,0,H
0,28.299,31.066,1.9483,2.7255,38.172,11.784,18.59,13.078,45.792,46.467,40.961,42.323,0,0,0,0,0,0,I
0,-22.465,0.088539,0.89515,2.7255,3.626,4.6997,6.0138,7.6612,7.0906,7.2315,11.912,18.713,27.255,39.431,0,0,0,0,J
0,0.61502,1.2553,1.9483,2.7255,-11.11,-8.3801,6.0138,-1.1385,9.775,12.553,16.301,21.179,28.793,40.819,0,0,0,0,A
0,16.818,1.2553,8.7882,2.7255,3.626,4.6997,22.895,7.6612,0,0,0,0,0,0,0,0,0,0,B
0,0.61502,25.97,28.062,2.7255,29.952,31.527,33.075,32.916,15.147,35.533,16.301,21.524,29.111,44.1,0,0,0,0,C
0,21.053,23.97,26.955,29.957,15.349,4.6997,6.0138,26.359,11.522,16.11,21.693,21.524,34.526,46.22,0,-0.11739,0,0,D
0,23.394,26.345,29.29,32.174,34.956,4.6997,17.981,7.6612,9.775,14.355,19.913,25.125,32.691,0,0,0,0,0,E
0,22.205,25.148,28.122,2.7255,24.865,36.775,36.167,7.6612,9.775,12.553,21.713,28.745,34.511,0,0,0,0,0,F
0,0.61502,1.2553,6.5918,2.7255,16.232,4.6997,6.0138,26.543,9.775,20.588,21.295,0,0,0,0,0,0,0,G
0,21.053,23.97,1.9483,10.895,3.626,6.2578,38.749,38.257,9.775,12.553,16.301,26.939,34.526,46.22,0,0,0,0,H
0,25.843,28.75,31.566,34.239,36.74,8.1372,11.306,39.918,44.062,21.573,25.27,46.396,60.716,0,0,0,0,0,I
0,-0.43766,0.33913,1.1513,2.0326,3.0238,4.3511,5.8626,7.5301,9.548,12.455,16.047,21.084,28.92,0,0,0,0,0,J
0,-0.53979,1.2553,1.9483,2.7255,2.1524,4.6997,6.0138,-2.6914,0.51362,12.553,16.301,15.658,29.111,40.819,0,0,0,0,A
0,0.61502,1.2553,1.9483,8.8271,3.626,4.6997,6.0138,7.6612,9.775,12.553,37.929,41.226,46.864,56.638,0,-0.058697,0,0,B
0,29.684,1.2553,27.314,29.367,31.263,31.265,32.963,34.747,9.775,17.908,18.063,21.524,29.111,45.845,0,0,0,0,C
0,25.843,28.75,31.566,34.239,3.626,16.731,6.0138,38.126,11.58,16.161,16.301,26.854,36.134,47.756,0,0,0,0,D
0,30.635,33.161,35.432,37.428,39.165,40.699,42.127,43.59,45.282,47.465,18.012,21.524,48.743,0,0,0,0,0,E
0,24.611,27.551,30.443,2.7255,27.821,4.6997,39.061,7.6612,40.343,12.553,16.301,21.524,29.111,47.85,0,-0.17609,0,0,F
0,0.61502,1.2553,1.9483,2.7255,10.203,4.6997,23.025,7.6612,17.241,17.259,22.825,0,0,0,0,0,0,0,G
0,0.61502,1.2553,1.9483,2.7255,3.626,0,-0.029349,0,0,0,0,0,0,0,0,0,0,0,H
0,-26.292,-23.366,-20.383,-17.389,-14.404,-11.417,-8.3837,-5.2175,-1.7822,2.1298,6.8381,12.86,29.111,33.7,0,0,0,0,I
0,-0.43766,0.033728,0.88569,2.0326,3.0238,4.3511,5.56,6.8745,9.548,12.455,16.047,21.304,28.984,0,0,0,0,0,J
0,25.843,28.75,31.566,34.239,36.74,30.481,6.0138,43.502,9.775,12.553,16.301,21.524,29.111,49.491,0,-0.90981,0,0,A
0,5.1708,20.073,29.29,2.7255,3.626,4.6997,6.0138,7.6612,9.775,12.553,16.301,0,0,0,0,0,0,0,B
0,0.61502,1.2553,1.9483,2.7255,3.626,4.6997,6.0138,7.6612,9.775,12.553,22.683,0,0,0,0,0,0,0,C
0,27.078,29.927,32.642,35.175,37.506,4.6997,6.0138,7.6612,31.441,12.553,18.081,28.553,30.843,45.94,0,-0.88046,0,0,D
0,33.271,34.085,36.168,37.957,39.481,40.806,42.042,43.333,44.877,46.935,48.2,41.172,48.277,0,-0.88046,0,0,0,E
0,0.61502,1.2553,3.8361,2.7255,4.43,21.79,6.0138,7.6612,13.351,13.835,20.391,21.524,29.111,0,0,0,0,0,F
0,23.394,26.345,1.9483,2.7255,34.956,4.6997,12.852,7.6612,9.775,12.553,16.301,23.325,32.691,46.148,0,0,0,0,G
0,21.053,23.97,26.955,2.7255,21.211,35.862,6.0138,9.361,9.775,12.553,18.099,23.329,32.721,44.419,0,-0.029349,0,0,H
0,31.716,34.085,36.168,37.957,39.481,37.196,38.439,39.766,41.366,43.497,46.521,50.996,49.874,56.427,0,0,0,0,I
0,-0.086768,0.64453,1.417,2.0326,3.2245,4.5254,5.8626,6.7433,9.2074,12.258,16.217,21.45,29.047,0,0,0,0,0,J
0,0.61502,1.2553,1.9483,-11.779,3.626,-6.0841,6.0138,0.9518,9.775,12.553,15.976,20.93,28.564,40.308,0,0,0,0,A
0,0.61502,1.2553,3.373,13.403,3.626,4.6997,6.0138,7.6612,9.775,12.553,36.127,41.226,43.313,0,0,0,0,0,B
0,0.61502,1.2553,27.061,27.017,28.503,29.899,31.293,14.847,32.855,33.5,26.564,38.254,43.835,53.636,0,-0.85111,0,0,C
0,16.938,19.64,22.507,14.12,3.626,10.128,6.0138,7.6612,29.186,15.908,19.749,25.037,32.669,44.404,0,0,0,0,D
0,29.684,31.066,33.655,36.027,38.172,40.12,14.997,18.495,9.775,12.553,49.768,23.257,59.779,0,0,0,0,0,E
0,0.61502,1.2553,1.9483,2.7255,3.626,-7.4859,-4.258,2.85,3.3239,12.553,16.301,20.884,28.521,40.543,0,0,0,0,F
0,31.716,34.085,36.168,32.672,30.517,31.78,25.829,20.146,18.55,17.71,21.338,26.436,33.903,0,0,0,0,0,G
0,14.43,1.2553,3.7138,6.6773,3.626,28.782,6.0138,34.373,9.775,12.553,21.194,26.564,29.111,0,0,0,0,0,H
0,27.078,29.927,29.573,2.7255,3.626,15.186,7.797,9.463,42.274,12.553,0,0,0,0,0,0,0,0,I
0,-1.4465,-1.5077,1.9483,2.7255,-9.2042,4.1322,6.0138,-0.83739,9.775,12.553,16.301,17.667,29.111,40.819,0,0,0,0,J
0,-3.271,-1.3397,1.1816,2.7255,3.626,4.6997,-3.3506,-0.24304,8.2896,7.5504,15.698,20.973,28.604,40.346,0,-0.17609,0,0,A
0,0.61502,1.2553,3.257,4.1431,18.797,4.6997,6.0138,23.233,9.775,12.553,0,0,0,0,0,0,0,0,B
0,16.818,1.2553,2.9254,5.9864,3.626,4.6997,6.0138,7.6612,9.775,28.989,33.257,26.727,34.397,0,0,0,0,0,C
0,13.702,16.116,1.9483,4.6091,7.8181,10.476,6.0138,7.6612,9.775,32.426,21.087,24.822,0,0,0,0,0,0,D
0,32.716,34.909,36.79,38.364,39.672,40.794,40.053,39.442,40.919,42.946,44.244,34.312,40,0,-0.88046,0,0,0,E
0,28.299,31.066,33.655,36.027,3.626,4.6997,16.793,31.135,9.775,12.553,23.347,21.524,29.111,44.17,0,0,0,0,F
0,32.716,34.909,36.79,38.364,37.87,38.99,40.053,41.208,37.458,37.881,39.313,27.918,33.778,45.37,0,0,0,0,G
